At,Heartrate
8.05.2023 15:42:21,86
8.05.2023 15:42:23,85
8.05.2023 15:42:26,87
8.05.2023 15:42:28,89
8.05.2023 15:42:28,90
8.05.2023 15:42:30,92
8.05.2023 15:42:32,93
8.05.2023 15:42:34,94
8.05.2023 15:42:39,94
8.05.2023 15:42:41,95
8.05.2023 15:42:43,96
8.05.2023 15:42:45,93
8.05.2023 15:42:45,91
8.05.2023 15:42:49,92
8.05.2023 15:42:50,93
8.05.2023 15:42:56,93
8.05.2023 15:42:58,94
8.05.2023 15:42:58,95
8.05.2023 15:43:03,95
8.05.2023 15:43:07,96
8.05.2023 15:43:09,95
8.05.2023 15:43:11,94
8.05.2023 15:43:13,95
9.05.2023 22:12:26,81
9.05.2023 22:12:30,82
9.05.2023 22:12:31,85
9.05.2023 22:12:32,86
9.05.2023 22:12:33,87
9.05.2023 22:12:35,88
9.05.2023 22:12:36,90
9.05.2023 22:12:37,93
9.05.2023 22:12:41,94
9.05.2023 22:12:46,89
9.05.2023 22:12:48,91
9.05.2023 22:12:49,87
9.05.2023 22:12:50,85
9.05.2023 22:12:53,86
9.05.2023 22:12:54,87
9.05.2023 22:12:56,89
9.05.2023 22:12:57,90
9.05.2023 22:12:58,91
9.05.2023 22:13:03,91
9.05.2023 22:13:05,89
9.05.2023 22:13:07,91
9.05.2023 22:13:11,92
9.05.2023 22:13:16,93
9.05.2023 22:13:20,94
9.05.2023 22:13:22,93
9.05.2023 22:13:23,92
9.05.2023 22:13:24,90
9.05.2023 22:13:25,89
9.05.2023 22:59:20,95
9.05.2023 22:59:26,95
9.05.2023 22:59:30,96
9.05.2023 22:59:35,97
9.05.2023 22:59:40,97
9.05.2023 22:59:43,96
9.05.2023 22:59:44,95
9.05.2023 22:59:45,94
9.05.2023 22:59:46,93
9.05.2023 22:59:48,92
9.05.2023 22:59:49,91
9.05.2023 22:59:53,90
9.05.2023 22:59:54,89
9.05.2023 22:59:56,86
9.05.2023 22:59:57,85
9.05.2023 22:59:58,84
9.05.2023 23:00:03,85
9.05.2023 23:00:09,85
9.05.2023 23:00:10,86
9.05.2023 23:00:14,87
9.05.2023 23:00:15,89
9.05.2023 23:00:16,90
9.05.2023 23:00:19,89
9.05.2023 23:00:20,88
9.05.2023 23:00:25,88
9.05.2023 23:00:29,86
9.05.2023 23:00:33,85
9.05.2023 23:00:35,84
9.05.2023 23:00:40,84
9.05.2023 23:00:45,84
24.05.2023 22:45:29,71
24.05.2023 22:45:31,70
24.05.2023 22:45:33,67
24.05.2023 22:45:34,66
24.05.2023 22:45:39,66
24.05.2023 22:45:42,67
24.05.2023 22:45:44,69
24.05.2023 22:45:50,69
24.05.2023 22:45:53,68
24.05.2023 22:45:55,67
24.05.2023 22:46:00,67
24.05.2023 22:46:05,67
24.05.2023 22:46:06,68
24.05.2023 22:46:08,67
24.05.2023 22:46:10,68
24.05.2023 22:46:12,69
24.05.2023 22:46:13,71
24.05.2023 22:46:14,72
24.05.2023 22:46:17,73
24.05.2023 22:46:18,74
24.05.2023 22:46:19,75
24.05.2023 22:46:21,76
24.05.2023 22:46:26,76
24.05.2023 22:46:27,78
24.05.2023 22:46:29,79
24.05.2023 22:46:30,77
24.05.2023 22:46:31,73
24.05.2023 22:46:32,72
24.05.2023 22:46:34,75
24.05.2023 22:46:35,77
24.05.2023 22:46:36,78
24.05.2023 22:46:38,80
24.05.2023 22:46:39,81
24.05.2023 22:46:43,80
24.05.2023 22:46:47,82
24.05.2023 22:46:51,83
24.05.2023 22:46:52,84
24.05.2023 22:46:53,88
24.05.2023 22:46:55,83
24.05.2023 22:46:56,81
24.05.2023 22:46:57,80
24.05.2023 22:46:58,79
24.05.2023 22:47:00,80
24.05.2023 22:47:01,81
24.05.2023 22:47:02,82
24.05.2023 22:47:04,83
24.05.2023 22:47:05,84
25.05.2023 09:36:16,94
25.05.2023 09:36:21,94
25.05.2023 09:36:23,93
25.05.2023 09:36:25,95
25.05.2023 09:36:27,96
25.05.2023 09:36:29,97
25.05.2023 09:36:30,98
25.05.2023 09:36:31,99
25.05.2023 09:36:36,101
25.05.2023 09:36:38,103
25.05.2023 09:36:39,102
25.05.2023 10:33:21,71
25.05.2023 10:33:22,72
25.05.2023 10:33:27,72
25.05.2023 10:33:33,72
25.05.2023 10:33:34,71
25.05.2023 10:33:39,71
25.05.2023 10:33:42,72
25.05.2023 10:33:43,74
25.05.2023 10:33:47,75
25.05.2023 10:33:48,76
25.05.2023 10:33:49,77
25.05.2023 10:33:51,78
25.05.2023 10:33:52,79
25.05.2023 10:33:55,78
25.05.2023 10:33:56,77
25.05.2023 10:33:59,76
25.05.2023 10:34:00,74
25.05.2023 10:34:01,72
25.05.2023 10:34:06,72
25.05.2023 10:34:08,71
25.05.2023 10:34:10,70
25.05.2023 10:34:15,70
25.05.2023 10:34:17,69
25.05.2023 10:34:21,70
25.05.2023 10:34:22,71
25.05.2023 10:34:23,70
25.05.2023 10:34:25,69
25.05.2023 10:34:26,68
25.05.2023 10:34:27,67
25.05.2023 10:34:32,67
25.05.2023 10:34:35,68
25.05.2023 10:34:36,69
25.05.2023 10:34:38,70
25.05.2023 10:34:39,71
25.05.2023 10:34:44,71
25.05.2023 10:34:47,74
25.05.2023 10:34:48,75
25.05.2023 10:34:53,75
25.05.2023 10:34:56,77
25.05.2023 10:34:57,78
25.05.2023 10:34:58,79
25.05.2023 10:35:04,79
25.05.2023 10:35:06,78
